"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kirfel_ppl_textgruppe_I_col1" "kirfel_ppl_textgruppe_Ia_col1" "kirfel_ppl_textgruppe_II_col1" "kirfel_ppl_textgruppe_IIA_col1" "kirfel_ppl_textgruppe_IIB_col1" "kirfel_ppl_textgruppe_III_col1" "kirfel_ppl_ungrouped_col1" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.529734257974243 0.54864443742799 0.541888791525878 0.551389524550291 0.547142770024289 0.567198051207327 0.591874723087264 0.570362718189084 0.558490986981809 0.623329660116226 0.561363876857891 0.560275723738265 0.458475978684805 0.340373604310306 0.442550852982562 0.400101189208105 0.363466048036551 0.359505613100574 0.38868089481454 0.481969184163291 0.421469302899214 0.342907497348807 0.228532245779493 0.386402350720869 0.482001816381349 0.417689363037699 0.514857092796402 0.476046911247255 0.47856114401688 0.443298042747985 0.420175489616694 0.585709583026107 0.459326450787132 0.525131714713569 0.408696308656057 0.450895975578297 0.501229600402632 0.461606407884606 0.474284283869763 0.407112375893544 0.397467464789514 0.362614528787215 0.315622466435992 0.507712530128976 0.472558454760847 0.486991126069395 0.504648099762649 0.51738592633315 0.496340085485832 0.474032403626288 0.4740433071243 0.499851496002168 0.479881508215591 0.485683767934721 0.484610186410518 0.507776092752833 0.507260625417775 0.454052219088273 0.447225956451815 0.425234496816567 0.466142652020868 0.488725535857858 0.542270972257011 0.541580829265594 0.585927282021772 0.540555344989064 0.444935764837852 0.505368198634297 0.548463719819371 0.47264490251241 0.329494861673263 0.284697564805875 0.495271185041463 0.412698076759471 0.465933160253148 0.483443701730446 0.576798053193212 0.521820704112038 0.515092736630804 0.534343514918618 0.499092248180313 0.554686371345105 0.508918995852937 0.540981444252002 0.438042624203891 0.530203403163715 0.422890854971178 0.442796068076405 0.50401625689252 0.517663995066667 0.429782640560531 0.570438100386355 0.383261594240263 0.380751896944084 0.354008275085541 0.471487034990621 0.514483247672407 0.398305936424402 0.456801352108409 0.502424617208841 0.438286129986073 0.470515171694381 0.482905801915812 0.464670948258925 0.444355974878155 0.452124112274136 0.47458745193227 0.468361684256056 0.482704763718019 0.438535243478273 0.489388632769572 0.448496361797804 0.473687716369714 0.444696018969812 0.402215549118966 0.482495109380327 0.416311356021775 0.429932006160115 0.509253693019769 0.459437922569132 0.422099123861689 0.3853146669222 0.522448549250962 0.532976996885043 0.493327077914508 0.437685348715587
"bhagavatapurana_skandha-01_u" 0.529734257974243 0 0.345177691296536 0.304170621332704 0.249667266007366 0.376339739449856 0.31604045076245 0.335428195152465 0.326274153169201 0.35659467452609 0.541306766860313 0.275294270935258 0.363172851181947 0.343109816650543 0.459491513157476 0.583378037681757 0.491176010830381 0.517933560596255 0.514395484054674 0.448271103036655 0.511154841827357 0.426021650264273 0.51571354429708 0.544349688763327 0.460967434131789 0.57860564414832 0.469163327015225 0.458462292659632 0.503225065123774 0.562975127638614 0.447563148095308 0.451566196817563 0.587366281353005 0.543400088183486 0.640991627475378 0.565153813781194 0.575834307223995 0.608004276173902 0.589236662116226 0.56424237307958 0.446045430291967 0.49233873897949 0.545517658912495 0.543637498583899 0.434860263877467 0.547247694152248 0.43026429700343 0.419242581114351 0.412770158080553 0.424225260318302 0.472286903015005 0.471394726536338 0.461822480215615 0.438176071636222 0.503696542429869 0.44980662856308 0.411319010267957 0.514724569724367 0.425910635422096 0.45721441019335 0.517413932298162 0.551584971173886 0.452771893341697 0.508424738918139 0.553553731973156 0.579152797745189 0.525765052262141 0.437130957809032 0.507278404353816 0.490086063613055 0.439623343289878 0.46350518136161 0.463618295378565 0.42729788021932 0.567581985691717 0.416023058188382 0.406636993328278 0.585049322822394 0.488917363495708 0.458642491301674 0.435601250466015 0.460474513573639 0.469822207702126 0.437048352454156 0.448029613925373 0.430333428040045 0.556550742711737 0.511684599030555 0.42132145576177 0.531510447457064 0.44452699913216 0.476982425689296 0.441200658412198 0.462387846329658 0.462628871662663 0.519791238630569 0.51982180888679 0.414778627716561 0.464644318420184 0.57229049160543 0.519984195391633 0.508963547891778 0.458536120112125 0.494314875875556 0.466928344632981 0.575478263002803 0.594195314369795 0.612552420045079 0.557926687039122 0.645135815407584 0.6005608488306 0.631904526669966 0.595530886573778 0.569222547662313 0.589601410260141 0.502405249685727 0.448788452140941 0.553844454792854 0.459987530816605 0.477308472071466 0.472009182153848 0.473182541572386 0.522741194173299 0.55390020439624 0.431898824729955 0.467363041126149 0.430631181689174
"bhagavatapurana_skandha-02_u" 0.54864443742799 0.345177691296536 0 0.336848392317021 0.347166420606113 0.403535483720389 0.382579021730246 0.374951808973795 0.415869893091803 0.4140731067492 0.534001172694116 0.385870461854802 0.329173508851318 0.39464798443197 0.488051505675492 0.613276796807829 0.549030476173453 0.533102306539895 0.549709016208316 0.509351332399531 0.497147936539455 0.46791989304659 0.518696241708002 0.545865596276851 0.465583646562428 0.575119715573627 0.55671977234785 0.525797988631395 0.583945193030909 0.639135808404654 0.543730472887825 0.504391495648506 0.559657513389578 0.611867414157437 0.670440392310433 0.610320991173506 0.615730469310726 0.631821696853041 0.60404645706679 0.615487123812613 0.500715785021404 0.497975075659779 0.571605969078789 0.560407407255416 0.520386994413161 0.615142837288008 0.524647069946176 0.515650845021967 0.508660372384274 0.505922498100702 0.569164244461502 0.563269288645822 0.553561899939794 0.556993200092503 0.605769095523817 0.513400290242396 0.516593506395217 0.538601188200259 0.497541797674937 0.509035173734578 0.530657424175496 0.572992917115966 0.524703724161092 0.581827483398834 0.600088411795108 0.614957607823579 0.573598951116303 0.488636760976422 0.574643861162576 0.519637991687681 0.490527125008686 0.517967449243952 0.473823840762068 0.434068496213338 0.624559894576328 0.479073325052714 0.470457788702885 0.581735530075518 0.559899394869369 0.535912037286081 0.517923554361481 0.53600291792205 0.539583604914583 0.549952352111807 0.554529327294977 0.433468417071175 0.566692194143273 0.522676573708659 0.476069551876728 0.561869667004094 0.4966040548712 0.510520239814496 0.496997955495176 0.478229956487528 0.494956862833525 0.530596086905613 0.598325480604372 0.421030733923412 0.509015026313103 0.561133625852348 0.585630052208552 0.548712910665048 0.549812501932067 0.510842067507782 0.536180826782517 0.613701950202345 0.612891977244394 0.600924758301808 0.584295686055571 0.658080245805275 0.63286243316191 0.651098076557398 0.616106411597083 0.628449502801154 0.607466682686466 0.522079693258073 0.493245450206302 0.589910132608056 0.471668150948186 0.537803782846916 0.509585937051994 0.501410597139352 0.516666246869513 0.579469992031159 0.501539275709746 0.472204085640563 0.476380213619418
"bhagavatapurana_skandha-03_u" 0.541888791525878 0.304170621332704 0.336848392317021 0 0.24890597612422 0.378114605626552 0.333859421965096 0.342042335119738 0.34759574282951 0.358177122439997 0.52394302501352 0.290531776758535 0.369730719939181 0.370159598675617 0.458131372371551 0.58017860593203 0.48924834805398 0.508422936226367 0.503130348580403 0.476303477794852 0.520654400759297 0.45994930465821 0.491815043243156 0.539753640929147 0.48427863963059 0.582038639946693 0.479455372702418 0.490233337030347 0.535233870359519 0.582122791711268 0.46222588766234 0.457006781041736 0.583018787619481 0.565540256652995 0.639434939610038 0.562966569863659 0.563803052529491 0.593810191244992 0.583779808535447 0.560136197467036 0.452342770224204 0.499875253009226 0.539418340680407 0.549698066661301 0.489736849766354 0.549469779412084 0.494381156752394 0.477234176654314 0.476648433449691 0.467538362735245 0.516323355069572 0.508920465865097 0.503601849253237 0.49031823227936 0.548569972778634 0.481324838081196 0.476139587734463 0.554164456388471 0.466047835280472 0.479492311112079 0.526566421819356 0.586386662490928 0.496610516792692 0.553027317113763 0.575909712538022 0.6063089542969 0.55825747019985 0.471493238996967 0.514455874182924 0.502664770429716 0.462544696074259 0.483900187270131 0.462989112635376 0.438639416087714 0.593022648823198 0.42128699072263 0.43197627015659 0.569632264787191 0.513942311733449 0.499773784052844 0.483319386858284 0.514798225181736 0.524379614500378 0.485757462909443 0.497023574918716 0.429866046751602 0.575683482198937 0.55255957703479 0.436463081929357 0.56957548175001 0.437262754455454 0.484278003366164 0.450301966923153 0.454871981715161 0.483118407958415 0.536844338079413 0.550528049160304 0.431176491480943 0.493918660161014 0.58546088069636 0.530553549983578 0.526192916958534 0.47984932249732 0.48431812516456 0.461312295371535 0.575946015942605 0.574063425444704 0.608872577481749 0.550994476109418 0.652717408468746 0.605527370368669 0.630452538196111 0.590148119355948 0.57974397700483 0.576814753395785 0.508189787415778 0.483063717545173 0.554726779999908 0.447480951767735 0.518102569779383 0.46002826436374 0.497134976513875 0.530219304132533 0.563663743965412 0.444647337498697 0.482257616161147 0.452637009570249
"bhagavatapurana_skandha-04_u" 0.551389524550291 0.249667266007366 0.347166420606113 0.24890597612422 0 0.351412684195066 0.322374367617173 0.312983715976598 0.311347709624268 0.342370649742808 0.511499449984647 0.270926396951673 0.349565989107791 0.374623707932208 0.464280397115274 0.600488764565977 0.499189898177949 0.528225995304799 0.523409115710072 0.457740807807365 0.504099757125665 0.446144975833175 0.503424686209777 0.561713719642241 0.468726031397871 0.574315580193814 0.486619319565026 0.489125055843121 0.536211416257642 0.580372995888988 0.457763219341193 0.47492840677887 0.58109585682152 0.554928763213189 0.650014296959625 0.568620544246454 0.590031967653973 0.625771924722858 0.579640804245609 0.564149820924214 0.442555468341549 0.50281335516463 0.55000539260426 0.549068736456156 0.47933383687423 0.559803074825393 0.472135228844906 0.460134842350782 0.466918445071052 0.456427530186908 0.506642138869764 0.498249055709745 0.485171598154788 0.482353673089333 0.541014829640039 0.467531845389336 0.438789478379814 0.538431322914692 0.446542914088178 0.474056441686197 0.51843237674836 0.574870749228644 0.493391030153455 0.549189236986082 0.585183811196401 0.607956538698369 0.545208401091461 0.467388933324517 0.528334972569023 0.500101795791725 0.459905494031935 0.485209473764232 0.464771310669084 0.416754987975794 0.585787986639589 0.429291965465893 0.4256515306126 0.566534714216306 0.498074746493874 0.484129742596751 0.452656597543599 0.476759561783742 0.488070294444674 0.451376815634692 0.471391991424101 0.421557885735907 0.546229076838355 0.507878897252148 0.412815555826749 0.555115734733548 0.458922521862264 0.481117906355086 0.464622826073281 0.453626230927652 0.473994266508143 0.529040973079591 0.546166222889152 0.40265599398583 0.48842139744359 0.571999026217595 0.54210150418831 0.515208156592337 0.473292981201195 0.4860924850363 0.463830145829708 0.585040609168589 0.605741984061917 0.614494745517919 0.569735253524229 0.656367792479863 0.617266171943621 0.641441088097655 0.598965425776979 0.579050323618054 0.592992410802655 0.509612248936237 0.48369472391448 0.559465059836962 0.436819487132015 0.537490504017531 0.465941811117581 0.512204296308313 0.526526422074169 0.565783522828066 0.474566049099289 0.482398240266835 0.450012874458445
"bhagavatapurana_skandha-05_u" 0.547142770024289 0.376339739449856 0.403535483720389 0.378114605626552 0.351412684195066 0 0.355533650040714 0.391167264185873 0.436853725561578 0.397064297099267 0.48918729253647 0.364595255730579 0.401495249184016 0.362422196989062 0.442586926291265 0.58595572053062 0.508717599219528 0.495635177537288 0.513523850560881 0.501016595841161 0.495532337473604 0.484079137281481 0.497557786473809 0.517440959749754 0.477747689543374 0.559021493115627 0.54142802153488 0.494671249277833 0.583177974496254 0.624384339208912 0.514212578836087 0.483869560040885 0.555400487165167 0.566469569035115 0.645592238399906 0.573687627747281 0.632564351553933 0.628239932115088 0.604357193906582 0.602533415253843 0.478036899753968 0.509791175297647 0.52472856588792 0.496349265876921 0.527895871127698 0.599831426019211 0.53459119332323 0.515300579939391 0.536543122100356 0.511405558823084 0.563619887730947 0.528636657808422 0.563506980102212 0.555390735864697 0.580726881657606 0.539052729536078 0.51152209869903 0.534852861936516 0.49316906797281 0.521538330076981 0.558927207991627 0.598455778449248 0.529919638858557 0.576566598468303 0.589349720267233 0.642225332608549 0.590986037163087 0.485182730735995 0.552897692295316 0.542473042048577 0.487300978989199 0.491501966656984 0.447996335837853 0.49808001389305 0.612202258511661 0.455435603429903 0.443390665356526 0.521794563062392 0.565949873589814 0.549765302775575 0.545406031189707 0.569963597356666 0.57510863519239 0.558887626626843 0.555876051252962 0.408727123296463 0.581841285501561 0.550170646594698 0.46050295503968 0.604834297192388 0.480063751328205 0.474969847926318 0.492924347969179 0.466267182082193 0.459544100381635 0.46695337317853 0.587457906939095 0.406682374431739 0.51248252017303 0.532597726124764 0.570184338129353 0.554316033969376 0.522852241580102 0.526103879320081 0.51081139397601 0.584539991870635 0.615189633647774 0.581813666231072 0.552690453591537 0.636316202481079 0.609047138060014 0.626254087936461 0.577189204283863 0.58748895008167 0.588148707191255 0.526608766187738 0.499710933165468 0.554047792180222 0.50659000112773 0.527952631504799 0.51276258827381 0.497737048551418 0.514291966197062 0.529073860686996 0.502698035691101 0.503030130243014 0.455159978640046
"bhagavatapurana_skandha-06_u" 0.567198051207327 0.31604045076245 0.382579021730246 0.333859421965096 0.322374367617173 0.355533650040714 0 0.232628474205507 0.276857394243286 0.343376137421367 0.531465904514482 0.277520557977256 0.281629322250048 0.35664771658367 0.454701225265924 0.573518934922149 0.4722540659024 0.502712417213033 0.490208667734875 0.450433897284603 0.478548841979318 0.425922177199474 0.518850199817612 0.535122760563673 0.41470947261602 0.535937668540985 0.48544510599301 0.473760678425297 0.536490718758051 0.59876835366525 0.469029211069281 0.456514551895825 0.557967004203 0.555485048793109 0.627476222977538 0.561606711773992 0.581665143841235 0.602133409679689 0.591279298202958 0.559978851860695 0.45933614594169 0.470576153357813 0.523473810351529 0.545891146009251 0.427397507057829 0.563081901614183 0.418463368696656 0.412825751502073 0.41633929536516 0.402510623072641 0.514899573687169 0.480406403878961 0.501878730280445 0.497558640041052 0.533192631121197 0.443861299507021 0.428927410758688 0.497463630087168 0.388913682277758 0.414012926309999 0.516324631549802 0.527094335224177 0.44316071211328 0.513762251994658 0.544649779035004 0.558143752469785 0.53231878751128 0.441655386353227 0.497613782031739 0.465593592288336 0.426590252717447 0.466940383644615 0.480216405889037 0.409829915660326 0.568375818919204 0.411369145193476 0.408509615249209 0.600184070532085 0.483097014710041 0.476002974485546 0.490515442528302 0.475559540854598 0.492724188246946 0.488256568932311 0.465891600938699 0.394130745530858 0.56853828672705 0.539147817354621 0.443339932184515 0.52326879846863 0.425774453834251 0.486280106957637 0.415552097007935 0.450495101614295 0.466619973574037 0.520851799204664 0.547362093059229 0.397915111414763 0.461025958834245 0.554098854253636 0.521414576246756 0.529367295457457 0.462192464177219 0.476308878755089 0.455180992635141 0.558199910036134 0.582830323209348 0.564684445916846 0.531725630723775 0.648279537396175 0.585990911119201 0.613091767374907 0.585241676833721 0.563793753228077 0.562443719188036 0.517458167675053 0.403811865781506 0.536547207467393 0.445524180490298 0.486629025330959 0.414882769644987 0.476957171440873 0.493192549932187 0.553698050622265 0.402498696290594 0.437260000556776 0.398871885226136
"bhagavatapurana_skandha-07_u" 0.591874723087264 0.335428195152465 0.374951808973795 0.342042335119738 0.312983715976598 0.391167264185873 0.232628474205507 0 0.281250335604778 0.355075486162432 0.525224996207353 0.267299537291384 0.280997448895922 0.383265394916566 0.504074402581992 0.619499795248475 0.540453689817084 0.541309143403309 0.550746038591233 0.513153809406713 0.491968466368025 0.457148977210595 0.544739155110903 0.572469595888538 0.463063636533397 0.552638137486376 0.536062169672981 0.508019468036223 0.599710594162889 0.641366157210925 0.536447006873914 0.517193333855772 0.555998099640289 0.61063218725803 0.670666904679567 0.618714069523483 0.618042464758297 0.656506197033859 0.628140267728343 0.610681453110099 0.507229243944663 0.520779207436767 0.566463603992006 0.561041144307093 0.486579239823328 0.617982034699218 0.473643534057282 0.481340492053226 0.473318957312766 0.465843236275619 0.567564260140625 0.527407182695738 0.554088390818237 0.551482251195915 0.601595793782355 0.496194261737619 0.468616899164831 0.551308505688533 0.44151996191171 0.469558842484384 0.546281686454295 0.573905309610476 0.491662920986934 0.566871909771234 0.612736914133176 0.590170357525779 0.564796209407617 0.487322485996428 0.54589019041145 0.520945143501343 0.482753898263685 0.528065007281253 0.51532850136172 0.451431556864402 0.606526762069108 0.4666392244557 0.457391311592316 0.5850221937333 0.558606147033677 0.519384049175383 0.519948603550624 0.52411993934062 0.53521827942576 0.535372546495046 0.536160017920213 0.440199032062402 0.617451818986308 0.554157076664984 0.487578041907627 0.574432264084195 0.47239277614875 0.527957711852204 0.455083961762643 0.48246894772244 0.519228042182524 0.535614502506749 0.556352776508929 0.439553698241439 0.509513994165291 0.572771438916526 0.563688218495355 0.560063021412614 0.532232499625272 0.524417893500301 0.524109778487206 0.616208188614027 0.631358378711676 0.611472553916761 0.588772600816542 0.676323383655509 0.640315653462143 0.658707191522523 0.613319978467989 0.621254316416525 0.622130399761037 0.542217494726277 0.457879905991674 0.596483860600624 0.478084961185886 0.520923935491876 0.451338278022496 0.517141709545382 0.53123121068871 0.58375740650829 0.437600544239744 0.473625428289928 0.440458188600709
"bhagavatapurana_skandha-08_u" 0.570362718189084 0.326274153169201 0.415869893091803 0.34759574282951 0.311347709624268 0.436853725561578 0.276857394243286 0.281250335604778 0 0.325155290706385 0.564470296577659 0.24595805335476 0.359856076513856 0.386187438869818 0.457246991304793 0.599897536246678 0.485683220994244 0.501091958344728 0.516627518420493 0.438340526958935 0.487456868269496 0.412732175848877 0.504251035485871 0.550585166893981 0.454805844292592 0.561111799914265 0.470029517323519 0.461498536474322 0.534666488451101 0.56161095215405 0.445460744853448 0.464861104787497 0.554777819699179 0.554519210085416 0.645198024069655 0.562018870995137 0.587352241320508 0.624047861655197 0.588382804410817 0.561641424848161 0.417489140839257 0.51191309165049 0.529310432790681 0.537244700865483 0.419807126050028 0.534258359322752 0.444902566825974 0.414410029504335 0.444683492437118 0.46360104525601 0.491877890198628 0.462630721342626 0.484624623132821 0.492029160971109 0.534868717136985 0.440363009594963 0.448225164028798 0.551087515067741 0.453636759408481 0.452203186736406 0.538613465406169 0.589424895942234 0.456277570850301 0.514765117787155 0.558695673792177 0.585450574374698 0.524912382857563 0.452793147975555 0.467047148197501 0.450955120657005 0.425125163946809 0.485378663935638 0.49843410345807 0.455669414213555 0.551045746784576 0.389095334700157 0.383156935791224 0.584294655425065 0.483679268981357 0.483303205566293 0.459117821040073 0.485310373916389 0.499347540502952 0.457214813083532 0.459368106229701 0.388605658106617 0.580550748530175 0.53722047319871 0.439431166839376 0.500092279554542 0.409640051750749 0.452792402425663 0.393404985005326 0.453763240979372 0.479817406934059 0.540437342627314 0.518138476595085 0.424651594995652 0.442115291174675 0.565950895675582 0.483942273818371 0.528012575780675 0.450983867562282 0.438845161650082 0.444134013056331 0.587990006102957 0.608446606184933 0.62174890791976 0.547642436385353 0.649612007509216 0.621127436076835 0.637071480848586 0.601339883754151 0.569804270087967 0.601384822801959 0.52660898458376 0.39367740092055 0.559177246467203 0.471340561692498 0.466678140354829 0.367281073575135 0.497274286400199 0.529808886202946 0.568200733855527 0.352895081053524 0.428038902320753 0.395681538397022
"bhagavatapurana_skandha-09_u" 0.558490986981809 0.35659467452609 0.4140731067492 0.358177122439997 0.342370649742808 0.397064297099267 0.343376137421367 0.355075486162432 0.325155290706385 0 0.565686511925991 0.286764995592655 0.41998220389654 0.328501335270104 0.437018581690037 0.577296036872037 0.453297137882214 0.489932539812084 0.490115450415458 0.445014838679687 0.479827880258969 0.430749105367648 0.530335486655494 0.524112428578045 0.45408667796592 0.553562458611728 0.485441566141572 0.484587660428515 0.550174354793029 0.587172406119813 0.452809658088271 0.448471657316483 0.585220929504224 0.498917591319869 0.632547822994626 0.524991975227054 0.572795697206426 0.587535767628236 0.568039578270841 0.533296217705671 0.431751960163354 0.505889344036329 0.530508954748901 0.523476201168108 0.458122031583413 0.532095294404104 0.481859029247811 0.458457219415615 0.476372348371767 0.486522108448387 0.510009150735587 0.446059366418949 0.493027304800631 0.501347736705248 0.530758983096336 0.470181307239263 0.476769442588037 0.572649434832385 0.463196062655658 0.487674513789447 0.572148091375474 0.574246576330645 0.481337813624588 0.540394109585832 0.53721203236548 0.606561581227503 0.560563564638631 0.437655965035952 0.518098038442153 0.486235806386196 0.440365284843018 0.47401085195997 0.470667433356446 0.466979831984876 0.56542139790318 0.391795743365225 0.411706682719601 0.586364016023909 0.484802179770129 0.509992766828832 0.480971111655567 0.500925780788778 0.507488425551368 0.476993432923326 0.47894451401711 0.395397685306405 0.598631967922006 0.552892732353753 0.439555179814008 0.556534882851089 0.434856909691965 0.492247694566371 0.439756585726778 0.436872596896386 0.456886490655494 0.51801055340906 0.548463116021834 0.427415106801672 0.482300518742811 0.583625940878792 0.515494184952006 0.541684151518846 0.486300949993392 0.470617853166786 0.449205931252725 0.560645209737128 0.5871781397266 0.596952948497782 0.53703018943989 0.634415600577758 0.599966690273375 0.617575612994681 0.597299426487562 0.515350842442806 0.587882430484611 0.508202650269478 0.447260161785565 0.541296236615214 0.514798644550565 0.469516212744185 0.436735708593595 0.478317457007606 0.516250114903997 0.477089704212112 0.431487507450401 0.470177546007475 0.396282708750501
