Source,Target,Weight,Type
agnipurana_u,devipurana,1,undirected
agnipurana_u,garudapurana_khanda-1_u,3,undirected
agnipurana_u,naradapurana_khanda-1_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-09_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-12_u,1,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-05_u,pranavakalpa,2,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,5,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-11_u,4,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,5,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,6,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-12_u,2,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,2,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,skandamahpurana_kasikhanda,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-06_u,4,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,6,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-12_u,visnupurana_u,3,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,devipurana,3,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,kalikapurana,1,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,naradapurana_khanda-1_u,2,undirected
bhavisyapurana,devibhagavatapurana,6,undirected
bhavisyapurana,devipurana,3,undirected
bhavisyapurana,garudapurana_khanda-2_u,3,undirected
bhavisyapurana,matsyapurana_adhyaya-176_pu,2,undirected
bhavisyapurana,naradapurana_khanda-1_u,2,undirected
bhavisyapurana,nrsimhapurana_pu,1,undirected
bhavisyapurana,sivapurana_dharmasamhita,1,undirected
bhavisyapurana,sivapurana_umasamhita,2,undirected
bhavisyapurana,sivapurana_vayaviyasamhita_au,1,undirected
bhavisyapurana,vayupurana_revakhanda,1,undirected
brahmandapurana_khanda-1_u,vayu_ba,5,undirected
brahmandapurana_khanda-1_u,vayupurana_01_frame-and-cosmogony_iast,3,undirected
brahmandapurana_khanda-1_u,vayupurana_03_kalpas-and-shiva-lineages_iast,1,undirected
brahmandapurana_khanda-1_u,vayupurana_05_jyotis-and-purvardha-close_iast,5,undirected
brahmandapurana_khanda-1_u,vayupurana_06_prthu-and-prajapati-lineages_iast,1,undirected
brahmandapurana_khanda-1_u,vayupurana_09_upasamhara_iast,2,undirected
brahmandapurana_khanda-1_u,vayupurana,3,undirected
brahmandapurana_khanda-2_u,brahmandapurana,6,undirected
brahmandapurana_khanda-2_u,lingapurana_khanda-1_u,3,undirected
brahmandapurana_khanda-2_u,matsyapurana_adhyaya-176_pu,4,undirected
brahmandapurana_khanda-2_u,sivapurana_umasamhita,2,undirected
brahmandapurana_khanda-2_u,vayupurana_07_shraddha-kalpa_iast,1,undirected
brahmandapurana_khanda-2_u,vayupurana_08_manu-candra-vishnu-vamsha_iast,3,undirected
brahmandapurana_khanda-3_u,brahmandapurana,3,undirected
brahmandapurana_khanda-3_u,devipurana,1,undirected
brahmandapurana_khanda-3_u,naradapurana_khanda-1_u,2,undirected
brahmandapurana,brahmandapurana_khanda-2_u,6,undirected
brahmandapurana,brahmandapurana_khanda-3_u,3,undirected
brahmandapurana,devipurana,2,undirected
brahmandapurana,garudapurana_khanda-3_u,2,undirected
brahmandapurana,kurmapurana_khanda-1_u,1,undirected
brahmandapurana,lingapurana_khanda-1_u,3,undirected
brahmandapurana,matsyapurana_adhyaya-176_pu,5,undirected
brahmandapurana,sivapurana_umasamhita,3,undirected
brahmandapurana,vayupurana_04_bhuvana-vinyasa_iast,2,undirected
brahmandapurana,vayupurana_08_manu-candra-vishnu-vamsha_iast,1,undirected
brahmandapurana,vayupurana,2,undirected
brahmapurana_pu,devibhagavatapurana,1,undirected
brahmapurana_pu,garudapurana_khanda-2_u,1,undirected
brahmapurana_pu,kalikapurana,3,undirected
brahmapurana_pu,mahabharata_13-anusasanaparvan,4,undirected
brahmapurana_pu,markandeyapurana_adhyaya-1-93_u,4,undirected
brahmapurana_pu,matsyapurana_adhyaya-1-32_pu,2,undirected
brahmapurana_pu,matsyapurana_adhyaya-176_pu,4,undirected
brahmapurana_pu,nilamatapurana_au,1,undirected
brahmapurana_pu,padmapurana_a,1,undirected
brahmapurana_pu,saurapurana,1,undirected
brahmapurana_pu,sivapurana_karvanamahatmya_au,1,undirected
brahmapurana_pu,skandapurana_adhyaya-1-31_pu,2,undirected
brahmapurana_pu,skandapurana_himavatkhanda_au,3,undirected
brahmapurana_pu,skandapurana_revakhanda,2,undirected
brahmapurana_pu,skandapurana,1,undirected
brahmapurana_pu,vamanapurana_saromahatmya_u,2,undirected
brahmapurana_pu,vamanapurana_u,3,undirected
brahmapurana_pu,visnudharma_pu,3,undirected
brahmapurana_pu,visnupurana_u,2,undirected
devibhagavatapurana_u,devibhagavatapurana,2,undirected
devibhagavatapurana_u,kalikapurana,1,undirected
devibhagavatapurana_u,saurapurana,3,undirected
devibhagavatapurana,bhavisyapurana,6,undirected
devibhagavatapurana,brahmapurana_pu,1,undirected
devibhagavatapurana,devibhagavatapurana_u,2,undirected
devibhagavatapurana,kalikapurana,1,undirected
devibhagavatapurana,naradapurana_khanda-2_u,2,undirected
devibhagavatapurana,nrsimhapurana_pu,4,undirected
devibhagavatapurana,sivapurana_rudrasamhita,3,undirected
devibhagavatapurana,sivapurana_satarudrasamhita_au,1,undirected
devipurana,agnipurana_u,1,undirected
devipurana,bhavisyapurana_brahmaparvan_adhyaya-5,3,undirected
devipurana,bhavisyapurana,3,undirected
devipurana,brahmandapurana_khanda-3_u,1,undirected
devipurana,brahmandapurana,2,undirected
devipurana,garudapurana_khanda-1_u,2,undirected
devipurana,naradapurana_khanda-1_u,1,undirected
garudapurana_khanda-1_u,agnipurana_u,3,undirected
garudapurana_khanda-1_u,devipurana,2,undirected
garudapurana_khanda-1_u,lingapurana_khanda-2_u,1,undirected
garudapurana_khanda-1_u,naradapurana_khanda-1_u,6,undirected
garudapurana_khanda-2_u,bhavisyapurana,3,undirected
garudapurana_khanda-2_u,brahmapurana_pu,1,undirected
garudapurana_khanda-2_u,garudapurana_khanda-3_u,1,undirected
garudapurana_khanda-2_u,visnupurana_u,2,undirected
garudapurana_khanda-3_u,brahmandapurana,2,undirected
garudapurana_khanda-3_u,garudapurana_khanda-2_u,1,undirected
garudapurana_khanda-3_u,lingapurana_khanda-1_u,3,undirected
kalikapurana,bhavisyapurana_brahmaparvan_adhyaya-5,1,undirected
kalikapurana,brahmapurana_pu,3,undirected
kalikapurana,devibhagavatapurana_u,1,undirected
kalikapurana,devibhagavatapurana,1,undirected
kalikapurana,matsyapurana_adhyaya-1-32_pu,1,undirected
kalikapurana,matsyapurana_adhyaya-176_pu,2,undirected
karatoyamahatmya_pu,kurmapurana_khanda-2_u,3,undirected
karatoyamahatmya_pu,saurapurana,1,undirected
karatoyamahatmya_pu,skandamahpurana_kasikhanda,2,undirected
kurmapurana_khanda-1_u,brahmandapurana,1,undirected
kurmapurana_khanda-1_u,kurmapurana_khanda-2_u,3,undirected
kurmapurana_khanda-1_u,lingapurana_khanda-1_u,3,undirected
kurmapurana_khanda-1_u,lingapurana_khanda-2_u,3,undirected
kurmapurana_khanda-1_u,saurapurana,4,undirected
kurmapurana_khanda-1_u,sivapurana_sanatkumarasamhita,1,undirected
kurmapurana_khanda-1_u,skandapurana_pasupata_adhyaya174-183_u,3,undirected
kurmapurana_khanda-1_u,sutasamhita_khanda-4_iast,2,undirected
kurmapurana_khanda-2_u,karatoyamahatmya_pu,3,undirected
kurmapurana_khanda-2_u,kurmapurana_khanda-1_u,3,undirected
kurmapurana_khanda-2_u,sivapurana_vayaviyasamhita_au,1,undirected
kurmapurana_khanda-2_u,sivapurana_vidyesvarasamhita_au,3,undirected
kurmapurana_khanda-2_u,sutasamhita_khanda-4_iast,3,undirected
kurmapurana_khanda-2_u,vayupurana_02_pashupata-yoga_iast,1,undirected
kurmapurana_khanda-2_u,vayupurana_10_gaya-mahatmya_iast,3,undirected
lingapurana_khanda-1_u,brahmandapurana_khanda-2_u,3,undirected
lingapurana_khanda-1_u,brahmandapurana,3,undirected
lingapurana_khanda-1_u,garudapurana_khanda-3_u,3,undirected
lingapurana_khanda-1_u,kurmapurana_khanda-1_u,3,undirected
lingapurana_khanda-1_u,lingapurana_khanda-2_u,1,undirected
lingapurana_khanda-1_u,matsyapurana_adhyaya-176_pu,1,undirected
lingapurana_khanda-1_u,sutasamhita_khanda-4_iast,1,undirected
lingapurana_khanda-2_u,garudapurana_khanda-1_u,1,undirected
lingapurana_khanda-2_u,kurmapurana_khanda-1_u,3,undirected
lingapurana_khanda-2_u,lingapurana_khanda-1_u,1,undirected
lingapurana_khanda-2_u,naradapurana_khanda-1_u,2,undirected
mahabharata_01-adiparvan,mahabharata_02-sabhaparvan,3,undirected
mahabharata_01-adiparvan,mahabharata_03-aranyakaparvan,6,undirected
mahabharata_01-adiparvan,mahabharata_14-asvamedhikaparvan,5,undirected
mahabharata_01-adiparvan,mahabharata_15-asramavasikaparvan,2,undirected
mahabharata_02-sabhaparvan,mahabharata_01-adiparvan,3,undirected
mahabharata_02-sabhaparvan,mahabharata_03-aranyakaparvan,1,undirected
mahabharata_02-sabhaparvan,mahabharata_04-virataparvan,1,undirected
mahabharata_02-sabhaparvan,mahabharata_05-udyogaparvan,6,undirected
mahabharata_02-sabhaparvan,mahabharata_10-sauptikaparvan,3,undirected
mahabharata_02-sabhaparvan,mahabharata_17-mahaprasthanikaparvan,3,undirected
mahabharata_02-sabhaparvan,mahabharata_18-svargarohanaparvan,3,undirected
mahabharata_03-aranyakaparvan,mahabharata_01-adiparvan,6,undirected
mahabharata_03-aranyakaparvan,mahabharata_02-sabhaparvan,1,undirected
mahabharata_03-aranyakaparvan,mahabharata_04-virataparvan,4,undirected
mahabharata_03-aranyakaparvan,mahabharata_05-udyogaparvan,2,undirected
mahabharata_03-aranyakaparvan,mahabharata_10-sauptikaparvan,1,undirected
mahabharata_03-aranyakaparvan,mahabharata_11-striparvan,2,undirected
mahabharata_03-aranyakaparvan,mahabharata_14-asvamedhikaparvan,4,undirected
mahabharata_03-aranyakaparvan,mahabharata_16-mausalaparvan,3,undirected
mahabharata_03-aranyakaparvan,mahabharata_18-svargarohanaparvan,2,undirected
mahabharata_03-aranyakaparvan,ramayana_01-balakanda,2,undirected
mahabharata_03-aranyakaparvan,ramayana_02-ayodhyakanda_a,3,undirected
mahabharata_03-aranyakaparvan,ramayana_07-uttarakanda,1,undirected
mahabharata_03-aranyakaparvan,skandapurana_adhyaya-1-31_pu,1,undirected
mahabharata_03-aranyakaparvan,skandapurana,2,undirected
mahabharata_04-virataparvan,mahabharata_02-sabhaparvan,1,undirected
mahabharata_04-virataparvan,mahabharata_03-aranyakaparvan,4,undirected
mahabharata_04-virataparvan,mahabharata_05-udyogaparvan,3,undirected
mahabharata_04-virataparvan,mahabharata_11-striparvan,3,undirected
mahabharata_05-udyogaparvan,mahabharata_02-sabhaparvan,6,undirected
mahabharata_05-udyogaparvan,mahabharata_03-aranyakaparvan,2,undirected
mahabharata_05-udyogaparvan,mahabharata_04-virataparvan,3,undirected
mahabharata_05-udyogaparvan,mahabharata_10-sauptikaparvan,2,undirected
mahabharata_05-udyogaparvan,mahabharata_11-striparvan,1,undirected
mahabharata_05-udyogaparvan,mahabharata_12-santiparvan,2,undirected
mahabharata_05-udyogaparvan,mahabharata_15-asramavasikaparvan,1,undirected
mahabharata_05-udyogaparvan,mahabharata_18-svargarohanaparvan,1,undirected
mahabharata_06-bhismaparvan,mahabharata_07-dronaparvan,5,undirected
mahabharata_06-bhismaparvan,mahabharata_08-karnaparvan,4,undirected
mahabharata_06-bhismaparvan,mahabharata_09-salyaparvan,4,undirected
mahabharata_07-dronaparvan,mahabharata_06-bhismaparvan,5,undirected
mahabharata_07-dronaparvan,mahabharata_08-karnaparvan,6,undirected
mahabharata_07-dronaparvan,mahabharata_09-salyaparvan,2,undirected
mahabharata_08-karnaparvan,mahabharata_06-bhismaparvan,4,undirected
mahabharata_08-karnaparvan,mahabharata_07-dronaparvan,6,undirected
mahabharata_08-karnaparvan,mahabharata_09-salyaparvan,3,undirected
